_id,,Unnamed: 0,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
631b303774b46bf77a236951,0,304490,gp:AOqpTOFhJ1ed-bUtcx9mfbCLqfPzKkI9cGOtm0p-NAgdPnF6ARfJxeL8Gs3npWy_AgkfOrQTKZ-0Ds0oM31igg,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"I love this app it's just not working for me, it's not letting me click and go on the app? I deleted it so maybe I can fix it but now it won't download",3,2,22.8.4,2022-01-17T23:27:14.000Z,"Hi, 

Thanks for your valuable feedback!
 Please contact us through our APP as following:
1. Go to your Profile page
2. Tap on the button on the top right corner
3. Choose ""Report a Problem"" on the ""Privacy and Settings"" page",2018-12-19T03:27:15.000Z
631b303774b46bf77a236952,1,304432,gp:AOqpTOHWPt83PIAuUBPpNZHM6EAcSI951a7qiqDppfqXgfDf7850NdQtJuYRyDGOwiE9mZaEBoao7HGFOKCEXg,LEKA,https://play-lh.googleusercontent.com/a-/AOh14GiNImsTJ10MAeuyxhcwbxAlRHc4Gj6YP_n3Up3a,"I have had a great experience with this app. But I'm on an android tablet and realised that my family members with ipads could watch tik toks in landscape. I thought it was cause of the model but I checked to see my tablet was a 2020 model(which is later the theirs) So I was asking if you guys can allow android tik tok users to have the same features as apple users because I would really love that landscape view for when I want to lay down and watch.",3,537,22.8.4,2022-01-17T23:48:39.000Z,"Hi, thanks for the great suggestions! We will be sure to share your suggestions with our product team for consideration. TikTok team is committed to promoting a better user experience. Thanks, TikTok Team.",2022-01-20T04:05:43.000Z
631b303774b46bf77a236953,2,304163,gp:AOqpTOF_vtoefrM9TECl50E91_CutQJyLlBn__hyLQTt_iRDQU11Za1aNGFmpE41nYLi69hWsnr43G_rRud_3A,Me,https://play-lh.googleusercontent.com/a-/AOh14GibQPZ4r-UWdwRXBntCXe250jJZ90U0vVBTd7UnCQ,"I really like this app and I have been using it for a couple of years now. But my one problem is that I use an android and tiktok favourites apple and makes their video quality better and doesn't do anything about andriod. If this is true please fix this problem. Either that or my phone's camera quality actually just sucks.",4,198,22.8.4,2022-01-18T01:43:30.000Z,"Hi, thanks for the great suggestions! We will be sure to share your suggestions with our product team for consideration. TikTok team is committed to promoting a better user experience. Thanks, TikTok Team.",2022-01-06T06:48:10.000Z
631b303774b46bf77a236954,3,300737,gp:AOqpTOGvXVYbfqcc_1lAG_wi108BIVBizbO4iKyFjGpzdFe8noinM3WshtGJ3oAvt1FG-TV8ZoLGk3CwX4psPw,ash,https://play-lh.googleusercontent.com/a-/AOh14GgRpKr2Mz4ArzRcdOhcG2IowFJEyvWwghl8oyEE8Q,"Worked okay when I first got it, I couldn't see ANY duet tiktoks. It would always close when i was in the middle of a tiktok, I didn't think much of it and just reopened the app. Now it won't even open at all. I uninstalled it and reinstalled it to see if it would fix but it didn't. I'm still currently trying to open it but it won't open. Can someone please tell me how to fix this?",1,337,20.7.5,2022-01-19T00:12:05.000Z,"Hi, sorry for the inconvenience. Could you please provide the issue details within the TikTok app via the following steps: 1) Go to your profile page 2) Tap on the button on the top right corner 3) Choose ""Report a Problem"" on the ""Privacy and Settings"" page. Thanks, TikTok team",2021-03-18T06:10:39.000Z
631b303774b46bf77a236955,4,297821,gp:AOqpTOGC7DeFiQzRVK3MBuqSqvI3v7OqLigQNQdoSn1rBtRjPqH2XNDJvOOZ_2q9Wh1NvYjIW6rxfqv34jh6qg,Tim Klitsch,https://play-lh.googleusercontent.com/a-/AOh14Ghh6kHBV10FfZjFJrPn_sS36aH7yBLb_bdS0Wv5,"I hate it because I delete Vida and it won't let me make more",3,1,22.9.5,2022-01-19T16:17:11.000Z,"Hi, 

We apologize for the inconvenience caused. Please contact us through our app (go to your Profile page-top right button-Report a Problem). Your feedback is highly appreciated. Thanks for your support!",2018-11-23T04:35:21.000Z
631b303774b46bf77a236956,5,296999,lg:AOqpTOEW19C6yz-GomtfrUtI_TK9vD56-dWOki0FbkaVyLgBjaE4P4COeJTJ1WGR235kxFeqj_yeQzGo5yZy0g,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"fun app but they don't flag the videos that tell ppl to k!ll themselves and I've seen them say theirs nothing wrong with stuff like spreading info like ppls address. red flag of an app, fix your reporting system if you want a good app. teens are to young to be exposed to this app I've seen tons of ppl kill themselves because of this app",1,1029,22.8.4,2022-01-19T22:25:01.000Z,"Hi, thanks for the high rating. TikTok team will continue to work hard to bring you a better experience. Your support is highly appreciated! Thanks, TikTok Team.",2021-05-04T03:16:11.000Z
631b303774b46bf77a236957,6,296272,lg:AOqpTOE4US2jJPut5ZnBAn-sgCrLGJ9Mhf7m-ydpJAHlSQXho7XF-HQ611XVBCkILsPi9hahswl7tEDJc7i9lQ,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"I love tiktok however I would like to see more things on my fyp about stuff I like for example my favorite shows and movies I don't have a lot of problems like I used to but they do need to work on their community guidelines and change their report style back to the old one and they should get rid of the ""__commented on the video you were tagged in""it's annoying",4,201,22.9.5,2022-01-20T03:08:49.000Z,"Hi, sorry for the inconvenience. Could you please provide the issue details within the TikTok app via the following steps: 1) Go to your profile page 2) Tap on the button on the top right corner 3) Choose ""Report a Problem"" on the ""Privacy and Settings"" page. Thanks, TikTok team",2021-11-09T00:37:39.000Z
631b303774b46bf77a236958,7,294288,gp:AOqpTOEUK43cuwY3pXHWrCrHSXhpuz0DZy0Ctjc_SiJc8qV7YkMSX1CIJnRI6F0Dl8WVQerZwGATD4e15F8jCA,Ali M,https://play-lh.googleusercontent.com/a-/AOh14GilxM3wviD96J17k9TG4epLT2Heo9QCurlg7U22SkE,"Videos on my following page keep repeating or it will show videos from one person I follow and rarely shows new videos . I have searched Google about this issue and I can't find anything to fix it !!! It's extremely aggravating ... I'll increase my rating when it is fixed . It's been doing this for months .  I cleared cache , uninstalled and reinstalled etc ...",1,7081,22.9.5,2022-01-20T13:48:30.000Z,"Hi, sorry for the inconvenience. Could you please provide the issue details within the TikTok app via the following steps: 1) Go to your profile page 2) Tap on the button on the top right corner 3) Choose ""Report a Problem"" on the ""Privacy and Settings"" page. Thanks, TikTok team",2022-01-24T23:57:30.000Z
631b303774b46bf77a236959,8,293305,gp:AOqpTOF-b9fzWUgKWYhla1hktzLwUTb29Ye2HK4qvWTTlo8qjOHpHZAv2CMr0cj4rnWyiKHJ47vxqxLevyBUvQ,Alexis,https://play-lh.googleusercontent.com/a-/AOh14Ghi9Zij6S4RLljNjMR7cUKB7uMy2zWDtOPhdfAHfQ,"Normally I love Tiktok but my text to speech option for my videos went away! Basically I can't have a voice read what I type on my videos! Is this a bug or glitch? It worked before but now I can't find it even after I updated the app? Samsung Galaxy S10 here I case that's necessary to know.",3,167,22.9.5,2022-01-20T20:00:36.000Z,"Hi, thanks for the great suggestions! We will be sure to share your suggestions with our product team for consideration. TikTok team is committed to promoting a better user experience. Thanks, TikTok Team.",2022-01-24T23:59:22.000Z
631b303774b46bf77a23695a,9,292898,gp:AOqpTOF9ptz3LDfIaH950jwGhdLEayin9cehd1cCe52uQZQNeR0bOTeQ5I8uZLCv5fJNOPPq-S6tugPCagLhjA,josh White,https://play-lh.googleusercontent.com/a/AATXAJxJowqYtTTqBySQs02tvNX6LtQFBBco1hh5Owku=mo,"BUGGYYYYYY.. so I do love the app ngl. Maybe an addiction. But as of recently I have found more and more bugs. Like if I scroll to the next video I will still hear the previous videos sound playing over the new one. Or the comments won't load and same with the profiles taking forever to load in. Just seems like it's time for an update.",2,631,22.9.5,2022-01-20T23:29:26.000Z,"Hi, sorry for the inconvenience. Could you please provide the issue details within the TikTok app via the following steps: 1) Go to your profile page 2) Tap on the button on the top right corner 3) Choose ""Report a Problem"" on the ""Privacy and Settings"" page. Thanks, TikTok team",2022-01-30T05:12:26.000Z
